time,posx,posz,velx,velz,accx,accz,pitch,draught,force
0.0,0.0, 0.18999986676808175, 0.0, -8.882127884038586e-05, 0.0, -0.17764255768077172, 0.0, 0.15000000000000002, 0.0
0.001,7.509940290120827e-11, 0.18999951233755988, 5.006626860080552e-08, -0.0002658941075355828, 0.00010013253720161103, -0.17650309970962205, 3.038111796107013e-10, 0.15001396592021551, 0.0
0.002,3.5045262192602104e-10, 0.18999898254565858, 2.00257568883477e-07, -0.0004418259700410664, 0.00020025006336373195, -0.17536062530134525, 1.417477652116192e-09, 0.15002808276214893, 0.0
0.003,9.261604045887347e-10, 0.1899982785354497, 4.505577114029681e-07, -0.0006166154625954468, 0.00030035022167525016, -0.1742183598074155, 3.745239077899947e-09, 0.15004230459505924, 0.0
0.004,1.9023037778603723e-09, 0.18999740144895583, 8.009481526487476e-07, -0.000790262816785825, 0.00040043066081630886, -0.17307634857334075, 7.690873727791247e-09, 0.15005663018301926, 0.0
0.005,3.378941702372739e-09, 0.18999635242790003, 1.2514080005578269e-06, -0.0009627683094583801, 0.0005004890350018494, -0.17193463677176932, 1.3657678883455667e-08, 0.15007105829181208, 0.0
0.006,5.456108732200686e-09, 0.1899951326136609, 1.8019140200712402e-06, -0.0011341322625731075, 0.0006005230040249772, -0.1707932694576854, 2.2048449603433135e-08, 0.1500855876881804, 0.0
0.007,8.233812680265771e-09, 0.18999374314722756, 2.452440638733804e-06, -0.0013043550430854789, 0.00070053023330015, -0.1696522915670571, 3.3265457517630295e-08, 0.15010021713987043, 0.0
0.008,1.1812032289404331e-08, 0.18999218516915486, 3.202959952336975e-06, -0.0014734370628267492, 0.0008005083939061926, -0.16851174791548362, 4.771042965114055e-08, 0.1501149454156768, 0.0
0.009000000000000001,1.6290714909142808e-08, 0.1899904598195187, 4.053441730604642e-06, -0.0016413787783829206, 0.0009004551626291413, -0.16737168319685922, 6.578452727823684e-08, 0.15012977128548555, 0.0
0.010000000000000002,2.176977417822298e-08, 0.18998856823787144, 5.003853422921663e-06, -0.0018081806909723665, 0.0010003682220048995, -0.16623214198203246, 8.788832480738128e-08, 0.15014469352031876, 0.0
0.011000000000000003,2.8349087712919623e-08, 0.18998651156319746, 6.0541601641049824e-06, -0.001973843346322124, 0.0011002452603617395, -0.1650931687174824, 1.1442178869809447e-07, 0.1501597108923778, 0.0
0.012000000000000004,3.612849480119287e-08, 0.18998429093386882, 7.204324780217157e-06, -0.0021383673345428634, 0.0012000839718626093, -0.16395480772399615, 1.4578425641052673e-07, 0.15017482217508704, 0.0
0.013000000000000005,4.5207794102717446e-08, 0.18998190748760108, 8.454307794422102e-06, -0.002301753290002539, 0.001299882056547281, -0.16281710319535525, 1.8237441538857156e-07, 0.15019002614313728, 0.0
0.014000000000000005,5.5686741354830745e-08, 0.18997936236140928, 9.804067432882901e-06, -0.002464001891198731, 0.0013996372203743165, -0.161680099197029, 2.2459028207736152e-07, 0.15020532157252905, 0.0
0.015000000000000006,6.766504708444152e-08, 0.18997665669156394, 1.1253559630701488e-05, -0.0026251138606296844, 0.001499347175262857, -0.1605438396648773, 2.728291809759844e-07, 0.15022070724061548, 0.0
0.016000000000000007,8.124237432594085e-08, 0.18997379161354724, 1.2802738037900045e-05, -0.002785089964664051, 0.0015990096391342583, -0.15940836840385625, 3.274877237262572e-07, 0.15023618192614563, 0.0
0.017000000000000008,9.651833634515673e-08, 0.18997076826200945, 1.4451554025443938e-05, -0.002943931013409345, 0.0016986223359535266, -0.15827372908673207, 3.889617882383944e-07, 0.150251744409307, 0.0
0.01800000000000001,1.1359249436939376e-07, 0.18996758777072528, 1.6199956691305998e-05, -0.003101637860579115, 0.0017981829957705964, -0.15713996525280785, 4.576464978544039e-07, 0.15026739347176848, 0.0
0.01900000000000001,1.3256435532359879e-07, 0.18996425127255054, 1.8047892866572014e-05, -0.0032582114033588433, 0.001897689354761436, -0.15600712030664915, 5.339362005500457e-07, 0.15028312789672263, 0.0
0.02000000000000001,1.535333695726936e-07, 0.1899607598993788, 1.9995307121587223e-05, -0.0034136525822705795, 0.0019971391552689823, -0.1548752375168232, 6.182244481761842e-07, 0.15029894646892827, 0.0
0.02100000000000001,1.765989286701155e-07, 0.18995711478209837, 2.204214177214366e-05, -0.0035679623810363115, 0.0020965301458438896, -0.15374436001464095, 7.109039757403649e-07, 0.15031484797475242, 0.0
0.022000000000000013,2.018603631126059e-07, 0.18995331705054921, 2.418833688570817e-05, -0.003721141826440088, 0.002195860081285126, -0.15261453079291212, 8.123666807294462e-07, 0.15033083120221286, 0.0
0.023000000000000013,2.2941694010128822e-07, 0.18994936783348015, 2.6433830287690925e-05, -0.003873191988188895, 0.002295126722680388, -0.1514857927047021, 9.230036024741123e-07, 0.15034689494101922, 0.0
0.024000000000000014,2.5936786130907417e-07, 0.18994526825850608, 2.8778557567754287e-05, -0.004024113978772296, 0.0023943278374463357, -0.1503581884620998, 1.0432049015560948e-06, 0.15036303798261566, 0.0
0.025000000000000015,2.9181226065443974e-07, 0.18994101945206548, 3.1222452086161794e-05, -0.00417390895332084, 0.002493461199368685, -0.1492317606349894, 1.173359839258928e-06, 0.15037925912022188, 0.0
0.026000000000000016,3.268492020816096e-07, 0.18993662253937796, 3.376544498016718e-05, -0.004322578109463253, 0.002592524588642091, -0.14810655164983608, 1.31385675706306e-06, 0.15039555714887465, 0.0
0.027000000000000017,3.645776773471908e-07, 0.18993207864440192, 3.640746517044318e-05, -0.004470122687182407, 0.0026915157919098994, -0.14698260378847142, 1.4650830561861451e-06, 0.15041193086546917, 0.0
